
| Identificador | Nombre completo                                                                                                                           |                                   Sección                                    |
| **prtclept**  | A qué partido se siente más cercano, Portugal                                                                                             |                                   Política                                   |
| **prtcldru**  | A qué partido se siente más cercano, Federación de Rusia                                                                                  |                                   Política                                   |
| **prtclbse**  | ¿A qué partido se siente más cercano, Suecia                                                                                              |                                   Política                                   |
| **prtclesi**  | ¿A qué partido se siente más cercano, Eslovenia                                                                                           |                                   Política                                   |
| **prtdgcl**   | Qué cerca de la fiesta                                                                                                                    |                                   Política                                   |
| **lrscale**   | Colocación en escala izquierda derecha                                                                                                    |                                   Política                                   |
| **stflife**   | Qué satisfecho con la vida en su conjunto                                                                                                 |                                   Política                                   |
| **stfeco**    | Qué satisfecho con el estado actual de la economía del país                                                                               |                                   Política                                   |
| **stfgov**    | Qué satisfecho con el gobierno nacional                                                                                                   |                                   Política                                   |
| **stfdem**    | Qué satisfecho con la forma en que funciona la democracia en el país                                                                      |                                   Política                                   |
| **stfedu**    | Estado de la educación en el país hoy en día                                                                                              |                                   Política                                   |
| **stfhlth**   | Estado actual de los servicios de salud en el país                                                                                        |                                   Política                                   |
| **gincdif**   | El gobierno debería reducir las diferencias en los niveles de ingresos                                                                    |                                   Política                                   |
| **mnrgtjb**   | Los hombres deberían tener más derecho al trabajo que las mujeres cuando los empleos son escasos                                          |                                   Política                                   |
| **freehms**   | Gays y lesbianas libres para vivir la vida como quieran                                                                                   |                                   Política                                   |
| **hmsfmlsh**  | Avergonzado si es un familiar cercano gay o lesbiana                                                                                      |                                   Política                                   |
| **hmsacld**   | Derecho de las parejas de gays y lesbianas a adoptar niños                                                                                |                                   Política                                   |
| **euftf**     | Unión Europea: La unificación europea va más allá o va demasiado lejos                                                                    |                                   Política                                   |
| **imsmetn**   | Permitir que muchos/pocos inmigrantes de la misma raza/grupo étnico sean mayoritarios                                                     |                                   Política                                   |
| **imdfetn**   | Permitir que muchos/pocos inmigrantes de diferentes razas/grupos étnicos sean mayoritarios                                                |                                   Política                                   |
| **impcntr**   | Permitir muchos/pocos inmigrantes de países más pobres fuera de Europa                                                                    |                                   Política                                   |
| **imbgeco**   | La inmigración es mala o buena para la economía del país                                                                                  |                                   Política                                   |
| **imueclt**   | La vida cultural del país socavada o enriquecida por los inmigrantes                                                                      |                                   Política                                   |
| **imwbcnt**   | Los inmigrantes empeoran o mejoran el país para vivir                                                                                     |                                   Política                                   |
| **nwspol**    | Minutos dedicados a ver, leer o escuchar noticias sobre política y actualidad                                                             |                          Medios y confianza social                           |
| **netusoft**  | Frecuencia de uso de internet                                                                                                             |                          Medios y confianza social                           |
| **netustm**   | Tiempo dedicado al uso de internet en un día normal, en minutos                                                                           |                          Medios y confianza social                           |
| **ppltrst**   | Confianza general: La mayoría de la gente es digna de confianza o no se puede ser demasiado cuidadoso                                     |                          Medios y confianza social                           |
| **pplfair**   | Percepción de justicia: La mayoría de la gente intenta aprovecharse de ti, o trata de ser justa                                           |                          Medios y confianza social                           |
| **pplhlp**    | Percepción de ayuda: La mayoría de las veces la gente es servicial o se preocupa principalmente por sí misma                              |                          Medios y confianza social                           |
| **happy**     | ¿Qué tan feliz eres?                                                                                                                      | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **sclmeet**   | ¿Con qué frecuencia se reúne socialmente con amigos, parientes o colegas?                                                                 | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **inprdsc**   | Número de personas con las que puede discutir asuntos íntimos y personales                                                                | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **sclact**    | Participación en actividades sociales en comparación con otras personas de la misma edad                                                  | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **crmvct**    | El encuestado o un miembro del hogar fue víctima de robo/asalto en los últimos 5 años                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **aesfdrk**   | Sensación de seguridad al caminar solo en el área local después del anochecer                                                             | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **health**    | Salud general subjetiva                                                                                                                   | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **hlthhmp**   | Dificultad para realizar actividades diarias por enfermedad/discapacidad/problema mental                                                  | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **atchctr**   | Apego emocional a [país]                                                                                                                  | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **atcherp**   | Apego emocional a Europa                                                                                                                  | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgblg**    | Pertenencia a una religión o denominación particular                                                                                      | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnm**    | Religión o denominación a la que pertenece actualmente                                                                                    | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnbat**  | Religión o denominación a la que pertenece actualmente, Austria                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnbe**   | Religión o denominación a la que pertenece actualmente, Bélgica                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnach**  | Religión o denominación a la que pertenece actualmente, Suiza                                                                             | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnade**  | Religión o denominación a la que pertenece actualmente, Alemania                                                                          | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnafi**  | Religión o denominación a la que pertenece actualmente, Finlandia                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdngb**   | Religión o denominación a la que pertenece actualmente, Reino Unido                                                                       | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnhu**   | Religión o denominación a la que pertenece actualmente, Hungría                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnie**   | Religión o denominación a la que pertenece actualmente, Irlanda                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnis**   | Religión o denominación a la que pertenece actualmente, Islandia                                                                          | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnlt**   | Religión o denominación a la que pertenece actualmente, Lituania                                                                          | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnnl**   | Religión o denominación a la que pertenece actualmente, Países Bajos                                                                      | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnno**   | Religión o denominación a la que pertenece actualmente, Noruega                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnapl**  | Religión o denominación a la que pertenece actualmente, Polonia                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnase**  | Religión o denominación a la que pertenece actualmente, Suecia                                                                            | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgblge**   | ¿Alguna vez perteneció a una religión o denominación particular?                                                                          | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdnme**   | Religión o denominación a la que pertenecía en el pasado                                                                                  | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdebat**  | Religión o denominación a la que pertenecía en el pasado, Austria                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdebe**   | Religión o denominación a la que pertenecía en el pasado, Bélgica                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeach**  | Religión o denominación a la que pertenecía en el pasado, Suiza                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeade**  | Religión o denominación a la que pertenecía en el pasado, Alemania                                                                        | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeafi**  | Religión o denominación a la que pertenecía en el pasado, Finlandia                                                                       | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdegb**   | Religión o denominación a la que pertenecía en el pasado, Reino Unido                                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdehu**   | Religión o denominación a la que pertenecía en el pasado, Hungría                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeie**   | Religión o denominación a la que pertenecía en el pasado, Irlanda                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeis**   | Religión o denominación a la que pertenecía en el pasado, Islandia                                                                        | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdelt**   | Religión o denominación a la que pertenecía en el pasado, Lituania                                                                        | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdenl**   | Religión o denominación a la que pertenecía en el pasado, Países Bajos                                                                    | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeno**   | Religión o denominación a la que pertenecía en el pasado, Noruega                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdeapl**  | Religión o denominación a la que pertenecía en el pasado, Polonia                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdease**  | Religión o denominación a la que pertenecía en el pasado, Suecia                                                                          | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgdgr**    | ¿Qué tan religioso eres?                                                                                                                  | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rlgatnd**   | ¿Con qué frecuencia asiste a servicios religiosos aparte de ocasiones especiales?                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **pray**      | ¿Con qué frecuencia reza aparte de en servicios religiosos?                                                                               | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrgrp**   | ¿Es miembro de un grupo discriminado en este país?                                                                                        | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrrce**   | Discriminación del grupo del encuestado: color o raza                                                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrntn**   | Discriminación del grupo del encuestado: nacionalidad                                                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrrlg**   | Discriminación del grupo del encuestado: religión                                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrlng**   | Discriminación del grupo del encuestado: idioma                                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscretn**   | Discriminación del grupo del encuestado: grupo étnico                                                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrage**   | Discriminación del grupo del encuestado: edad                                                                                             | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrgnd**   | Discriminación del grupo del encuestado: género                                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrsex**   | Discriminación del grupo del encuestado: sexualidad                                                                                       | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrdsb**   | Discriminación del grupo del encuestado: discapacidad                                                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscroth**   | Discriminación del grupo del encuestado: otros motivos                                                                                    | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrdk**    | Discriminación del grupo del encuestado: no sé                                                                                            | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrref**   | Discriminación del grupo del encuestado: rechazo a contestar                                                                              | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrnap**   | Discriminación del grupo del encuestado: no aplicable                                                                                     | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **dscrna**    | Discriminación del grupo del encuestado: sin respuesta                                                                                    | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **ctzcntr**   | Ciudadano del país                                                                                                                        | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **ctzshipc**  | Ciudadanía                                                                                                                                | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **brncntr**   | Nacido en el país                                                                                                                         | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **cntbrthc**  | País de nacimiento                                                                                                                        | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **livecnta**  | Año en que vino a vivir al país por primera vez                                                                                           | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **lnghom1**   | Idioma más hablado en casa: primero mencionado                                                                                            | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **lnghom2**   | Idioma más hablado en casa: segundo mencionado                                                                                            | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **blgetmg**   | Pertenencia a un grupo étnico minoritario en el país                                                                                      | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **facntr**    | Padre nacido en el país                                                                                                                   | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **fbrncntb**  | País de nacimiento, padre                                                                                                                 | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **mocntr**    | Madre nacida en el país                                                                                                                   | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **mbrncntb**  | País de nacimiento, madre                                                                                                                 | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **gvrfgap**   | El gobierno debería ser generoso al juzgar las solicitudes de estatuto de refugiado                                                       | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rfgfrpc**   | La mayoría de los solicitantes de asilo no temen realmente ser perseguidos en sus propios países                                          | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **rfgbfml**   | Los refugiados a los que se les concede el asilo deberían tener derecho a traer a sus familiares cercanos                                 | Bienestar subjetivo, exclusión social, religión, identidad nacional y étnica |
| **eneffap**   | Probabilidad de comprar el electrodoméstico doméstico más eficiente energéticamente                                                       |                               Cambio climático                               |
| **rdcenr**    | Frecuencia con la que hace cosas para reducir el uso de energía                                                                           |                               Cambio climático                               |
| **cflsenr**   | Nivel de confianza en que podría usar menos energía que ahora                                                                             |                               Cambio climático                               |
| **elgcoal**   | Cuánta electricidad en [país] debería generarse a partir de carbón                                                                        |                               Cambio climático                               |
| **elgngas**   | Cuánta electricidad en [país] debería generarse a partir de gas natural                                                                   |                               Cambio climático                               |
| **elghydr**   | Cuánta electricidad en [país] debería generarse a partir de energía hidroeléctrica                                                        |                               Cambio climático                               |
| **elgnuc**    | Cuánta electricidad en [país] debería generarse a partir de energía nuclear                                                               |                               Cambio climático                               |
| **elgsun**    | Cuánta electricidad en [país] debería generarse a partir de energía solar                                                                 |                               Cambio climático                               |
| **elgwind**   | Cuánta electricidad en [país] debería generarse a partir de energía eólica                                                                |                               Cambio climático                               |
| **elgbio**    | Cuánta electricidad en [país] debería generarse a partir de energía de biomasa                                                            |                               Cambio climático                               |
| **wrpwrct**   | Cuán preocupado/a por los cortes de energía                                                                                               |                               Cambio climático                               |
| **wrenexp**   | Cuán preocupado/a porque la energía sea demasiado cara para muchas personas                                                               |                               Cambio climático                               |
| **wrdpimp**   | Cuán preocupado/a porque [país] sea demasiado dependiente de las importaciones de energía                                                 |                               Cambio climático                               |
| **wrdpfos**   | Cuán preocupado/a porque [país] sea demasiado dependiente de los combustibles fósiles                                                     |                               Cambio climático                               |
| **wrntdis**   | Cuán preocupado/a porque el suministro de energía sea interrumpido por desastres naturales o clima extremo                                |                               Cambio climático                               |
| **wrinspw**   | Cuán preocupado/a porque el suministro de energía sea interrumpido por generación de energía insuficiente                                 |                               Cambio climático                               |
| **wrtcfl**    | Cuán preocupado/a porque el suministro de energía sea interrumpido por fallas técnicas                                                    |                               Cambio climático                               |
| **wrtratc**   | Cuán preocupado/a porque el suministro de energía sea interrumpido por ataques terroristas                                                |                               Cambio climático                               |
| **clmchng**   | ¿Cree que el clima mundial está cambiando?                                                                                                |                               Cambio climático                               |
| **clmthgt1**  | ¿Cuánto pensó sobre el Cambio climático antes de hoy? (Pregunta 1)                                                                        |                               Cambio climático                               |
| **clmthgt2**  | ¿Cuánto pensó sobre el Cambio climático antes de hoy? (Pregunta 2)                                                                        |                               Cambio climático                               |
| **ccnthum**   | ¿El Cambio climático es causado por procesos naturales, actividad humana, o ambos?                                                        |                               Cambio climático                               |
| **ccrdprs**   | ¿Hasta qué punto siente responsabilidad personal para reducir el Cambio climático?                                                        |                               Cambio climático                               |
| **wrclmch**   | Cuán preocupado/a por el Cambio climático                                                                                                 |                               Cambio climático                               |
| **ccgdbd**    | ¿El Cambio climático tendrá un impacto bueno o malo en todo el mundo?                                                                     |                               Cambio climático                               |
| **lkredcc**   | Imagine que un gran número de personas limita el uso de energía, ¿qué tan probable es que se reduzca el Cambio climático?                 |                               Cambio climático                               |
| **lklmten**   | ¿Qué tan probable es que un gran número de personas limite el uso de energía?                                                             |                               Cambio climático                               |
| **gvsrdcc**   | ¿Qué tan probable es que los gobiernos de suficientes países tomen medidas para reducir el Cambio climático?                              |                               Cambio climático                               |
| **ownrdcc**   | ¿Qué tan probable es que limitar su propio uso de energía reduzca el Cambio climático?                                                    |                               Cambio climático                               |
| **inctxff**   | ¿Está a favor de aumentar los impuestos a los combustibles fósiles para reducir el Cambio climático?                                      |                               Cambio climático                               |
| **sbsrnen**   | ¿Está a favor de subsidiar la energía renovable para reducir el Cambio climático?                                                         |                               Cambio climático                               |
| **banhhap**   | ¿Está a favor de prohibir la venta de los electrodomésticos domésticos menos eficientes energéticamente para reducir el Cambio climático? |                               Cambio climático                               |
| **dfincac**   | Grandes diferencias en los ingresos aceptables para recompensar talentos y esfuerzos                                                      |                                  Bienestar                                   |
| **smdfslv**   | Para una sociedad justa, las diferencias en el nivel de vida deberían ser pequeñas                                                        |                                  Bienestar                                   |
| **uemplwk**   | De cada 100 en edad de trabajar, cuántos están desempleados y buscando trabajo                                                            |                                  Bienestar                                   |
| **slvpens**   | Nivel de vida de los pensionistas                                                                                                         |                                  Bienestar                                   |
| **slvuemp**   | Nivel de vida de los desempleados                                                                                                         |                                  Bienestar                                   |
| **gvslvol**   | Nivel de vida para los mayores, responsabilidad del gobierno                                                                              |                                  Bienestar                                   |
| **gvslvue**   | Nivel de vida para los desempleados, responsabilidad del gobierno                                                                         |                                  Bienestar                                   |
| **gvcldcr**   | Servicios de cuidado infantil para padres que trabajan, responsabilidad del gobierno                                                      |                                  Bienestar                                   |
| **sbstrec**   | Los beneficios/servicios sociales imponen una tensión demasiado grande a la economía                                                      |                                  Bienestar                                   |
| **sbprvpv**   | Los beneficios/servicios sociales previenen la pobreza generalizada                                                                       |                                  Bienestar                                   |
| **sbeqsoc**   | Los beneficios/servicios sociales conducen a una sociedad más igualitaria                                                                 |                                  Bienestar                                   |
| **sbbsntx**   | Los beneficios/servicios sociales cuestan demasiado a las empresas en impuestos/cargos                                                    |                                  Bienestar                                   |
| **sblazy**    | Los beneficios/servicios sociales vuelven perezosa a la gente                                                                             |                                  Bienestar                                   |
| **sblwcoa**   | Los beneficios/servicios sociales hacen que la gente esté menos dispuesta a cuidarse mutuamente                                           |                                  Bienestar                                   |
| **imsclbn**   | Cuándo deberían los inmigrantes obtener derechos a beneficios/servicios sociales                                                          |                                  Bienestar                                   |
| **uentrjb**   | La mayoría de los desempleados no intenta realmente encontrar un trabajo                                                                  |                                  Bienestar                                   |
| **lbenent**   | Muchos con ingresos muy bajos reciben menos beneficios de lo que legalmente tienen derecho                                                |                                  Bienestar                                   |
| **bennent**   | Muchos consiguen obtener beneficios/servicios a los que no tienen derecho                                                                 |                                  Bienestar                                   |
| **admub**     | Preguntas sobre la administración de las prestaciones por desempleo                                                                       |                                  Bienestar                                   |
| **ubpay**     | Prestación por desempleo si se rechaza un trabajo: menos remunerado                                                                       |                                  Bienestar                                   |
| **ubedu**     | Prestación por desempleo si se rechaza un trabajo: de menor nivel educativo                                                               |                                  Bienestar                                   |
| **ubunp**     | Prestación por desempleo si se rechaza un trabajo: negarse a trabajo no remunerado                                                        |                                  Bienestar                                   |
| **ub50pay**   | Alguien de 50 años, prestación por desempleo si se rechaza un trabajo: menos remunerado                                                   |                                  Bienestar                                   |
| **ub50edu**   | Alguien de 50 años, prestación por desempleo si se rechaza un trabajo: de menor nivel educativo                                           |                                  Bienestar                                   |
| **ub50unp**   | Alguien de 50 años, prestación por desempleo si se rechaza un trabajo: negarse a trabajo no remunerado                                    |                                  Bienestar                                   |
| **ub20pay**   | Alguien de 20-25 años, prestación por desempleo si se rechaza un trabajo: menos remunerado                                                |                                  Bienestar                                   |
| **ub20edu**   | Alguien de 20-25 años, prestación por desempleo si se rechaza un trabajo: de menor nivel educativo                                        |                                  Bienestar                                   |
| **ub20unp**   | Alguien de 20-25 años, prestación por desempleo si se rechaza un trabajo: negarse a trabajo no remunerado                                 |                                  Bienestar                                   |
| **ubsppay**   | Padre/madre soltero/a de un niño de 3 años, prestación por desempleo si se rechaza un trabajo: menos remunerado                           |                                  Bienestar                                   |
| **ubspedu**   | Padre/madre soltero/a de un niño de 3 años, prestación por desempleo si se rechaza un trabajo: de menor nivel educativo                   |                                  Bienestar                                   |
| **ubspunp**   | Padre/madre soltero/a de un niño de 3 años, prestación por desempleo si se rechaza un trabajo: negarse a trabajo no remunerado            |                                  Bienestar                                   |
| **bnlwinc**   | Beneficios sociales solo para personas con los ingresos más bajos                                                                         |                                  Bienestar                                   |
| **eduunmp**   | Gastar más en educación para desempleados a costa de la prestación por desempleo                                                          |                                  Bienestar                                   |
